seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lat,lng,geometry,distance
,,"Columbia, SC",,20190,,,,,,,"Columbia, SC",-81.03433129999999,34.000749299999995,POINT (34.0007493 -81.03433129999999),179.76568496216188
,,"Salt Lake City, UT",,20191,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),549.3802643006065
,,"Columbus, OH",,20192,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),352.05289272667414
,,"Columbia, SC",,20193,,,,,,,"Columbia, SC",-81.03433129999999,34.000749299999995,POINT (34.0007493 -81.03433129999999),296.2370232723774
,,"Des Moines, IA",,20194,,,,,,,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (41.5910641 -93.60371490000001),571.4846270796257
,,"Des Moines, IA",,20195,,,,,,,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (41.5910641 -93.60371490000001),616.4469337294257
,,"Jacksonville, FL",,20196,,,,,,,"Jacksonville, FL",-81.655651,30.3321838,POINT (30.3321838 -81.65565100000001),509.9686235419853
,,"Columbus, OH",,20197,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),255.86105866165448
,,"Jacksonville, FL",,20198,,,,,,,"Jacksonville, FL",-81.655651,30.3321838,POINT (30.3321838 -81.65565100000001),592.3306578855246
,,"Tulsa, OK",,20199,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),400.1462591052398
,,"Tulsa, OK",,201910,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),401.9589937496162
,,"Hartford, CT",,201911,,,,,,,"Hartford, CT",-72.6908547,41.764582,POINT (41.764582 -72.6908547),888.4590457170598
,,"San Jose, CA",,201912,,,,,,,"San Jose, CA",-121.89058329999999,37.3361905,POINT (37.3361905 -121.8905833),2577.0866685130677
,,"Hartford, CT",,201913,,,,,,,"Hartford, CT",-72.6908547,41.764582,POINT (41.764582 -72.6908547),1007.7308678549208
,,"Salt Lake City, UT",,201914,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),1040.1673956607126
,,"San Jose, CA",,201915,,,,,,,"San Jose, CA",-121.89058329999999,37.3361905,POINT (37.3361905 -121.8905833),1576.8386110379208
,,"Pittsburgh, PA",,201816,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),290.0928240228123
,,"Wichita, KS",,201817,,,,,,,"Wichita, KS",-97.3375448,37.6922361,POINT (37.6922361 -97.3375448),151.84993570343457
,,"Nashville, TN",,201818,,,,,,,"Nashville, TN",-86.7743531,36.1622296,POINT (36.1622296 -86.7743531),234.5367633048116
,,"Charlotte, NC",,201819,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),227.36289571355255
,,"Detroit, MI",,201820,,,,,,,"Detroit, MI",-83.04664029999999,42.331550899999996,POINT (42.3315509 -83.04664029999999),268.3406569945605
,,"Pittsburgh, PA",,201821,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),283.59304194708926
,,"Charlotte, NC",,201822,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),119.27341381584134
,,"Nashville, TN",,201823,,,,,,,"Nashville, TN",-86.7743531,36.1622296,POINT (36.1622296 -86.7743531),231.8792633695019
,,"Dallas, TX",,201824,,,,,,,"Dallas, TX",-96.7968559,32.7762719,POINT (32.7762719 -96.7968559),321.18127519557834
,,"Detroit, MI",,201825,,,,,,,"Detroit, MI",-83.04664029999999,42.331550899999996,POINT (42.3315509 -83.04664029999999),92.14898387950431
,,"Wichita, KS",,201826,,,,,,,"Wichita, KS",-97.3375448,37.6922361,POINT (37.6922361 -97.3375448),893.9447565413147
,,"Dallas, TX",,201827,,,,,,,"Dallas, TX",-96.7968559,32.7762719,POINT (32.7762719 -96.7968559),823.6487878585596
,,"San Diego, CA",,201828,,,,,,,"San Diego, CA",-117.16277140000001,32.7174209,POINT (32.7174209 -117.1627714),1273.4167397651017
,,"San Diego, CA",,201829,,,,,,,"San Diego, CA",-117.16277140000001,32.7174209,POINT (32.7174209 -117.1627714),1968.1189467069114
,,"Boise, ID",,201830,,,,,,,"Boise, ID",-116.20088600000001,43.6166163,POINT (43.6166163 -116.200886),262.57110478761405
,,"Boise, ID",,201831,,,,,,,"Boise, ID",-116.20088600000001,43.6166163,POINT (43.6166163 -116.200886),778.6756782476002
,,"Buffalo, NY",,201732,,,,,,,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (42.8867166 -78.87839220000001),282.4047974154624
,,"Tulsa, OK",,201733,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),180.22100371688072
,,"Greenville, SC",,201734,,,,,,,"Greenville, SC",-82.3984882,34.851354,POINT (34.851354 -82.3984882),218.30340668509675
,,"Salt Lake City, UT",,201735,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),549.3802643006065
,,"Greenville, SC",,201736,,,,,,,"Greenville, SC",-82.3984882,34.851354,POINT (34.851354 -82.3984882),226.24494515728276
,,"Indianapolis, IN",,201737,,,,,,,"Indianapolis, IN",-86.1583502,39.7683331,POINT (39.7683331 -86.1583502),99.60114145862228
,,"Indianapolis, IN",,201738,,,,,,,"Indianapolis, IN",-86.1583502,39.7683331,POINT (39.7683331 -86.1583502),149.2422493392192
,,"Salt Lake City, UT",,201739,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),533.2028596268094
,,"Tulsa, OK",,201740,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),294.52230713076517
,,"Sacramento, CA",,201741,,,,,,,"Sacramento, CA",-121.49439960000001,38.5815719,POINT (38.5815719 -121.4943996),353.4663783712392
,,"Sacramento, CA",,201742,,,,,,,"Sacramento, CA",-121.49439960000001,38.5815719,POINT (38.5815719 -121.4943996),338.3307016780558
,,"Orlando, FL",,201743,,,,,,,"Orlando, FL",-81.3790304,28.5421109,POINT (28.5421109 -81.3790304),216.44306957531975
,,"Orlando, FL",,201744,,,,,,,"Orlando, FL",-81.3790304,28.5421109,POINT (28.5421109 -81.3790304),90.71916673175981
,,"Milwaukee, WI",,201745,,,,,,,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (43.0349931 -87.92249699999999),173.2755621704086
,,"Milwaukee, WI",,201746,,,,,,,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (43.0349931 -87.92249699999999),226.32907752444572
,,"Buffalo, NY",,201747,,,,,,,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (42.8867166 -78.87839220000001),212.56408292213047
,,"Raleigh, NC",,201648,,,,,,,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (35.7803977 -78.63909890000001),26.55305978252759
,,"Des Moines, IA",,201649,,,,,,,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (41.5910641 -93.60371490000001),192.92243757930265
,,"Spokane, WA",,201650,,,,,,,"Spokane, WA",-117.42122649999999,47.6579425,POINT (47.6579425 -117.4212265),417.12373172967
,,"Raleigh, NC",,201651,,,,,,,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (35.7803977 -78.63909890000001),140.74606276835104
,,"St. Louis, MO",,201652,,,,,,,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (38.6529545 -90.24111656024635),359.9603562167343
,,"Brooklyn, NY",,201653,,,,,,,"Brooklyn, NY",-73.9495823,40.6501038,POINT (40.6501038 -73.9495823),94.48474191080811
,,"Oklahoma City, OK",,201654,,,,,,,"Oklahoma City, OK",-97.5170536,35.4729886,POINT (35.4729886 -97.5170536),17.777579432529297
,,"St. Louis, MO",,201655,,,,,,,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (38.6529545 -90.24111656024635),438.34190059626866
,,"Brooklyn, NY",,201656,,,,,,,"Brooklyn, NY",-73.9495823,40.6501038,POINT (40.6501038 -73.9495823),380.00671942416506
,,"Providence, RI",,201657,,,,,,,"Providence, RI",-71.4128343,41.8239891,POINT (41.8239891 -71.4128343),1142.6712074581924
,,"Oklahoma City, OK",,201658,,,,,,,"Oklahoma City, OK",-97.5170536,35.4729886,POINT (35.4729886 -97.5170536),315.9272271941873
,,"Denver, CO",,201659,,,,,,,"Denver, CO",-104.9653271,39.7348381,POINT (39.7348381 -104.9653271),431.82171332112887
,,"Des Moines, IA",,201660,,,,,,,"Des Moines, IA",-93.60371490000001,41.5910641,POINT (41.5910641 -93.60371490000001),607.3344007999646
,,"Spokane, WA",,201661,,,,,,,"Spokane, WA",-117.42122649999999,47.6579425,POINT (47.6579425 -117.4212265),677.7420177731692
,,"Providence, RI",,201662,,,,,,,"Providence, RI",-71.4128343,41.8239891,POINT (41.8239891 -71.4128343),591.6997622064831
,,"Denver, CO",,201663,,,,,,,"Denver, CO",-104.9653271,39.7348381,POINT (39.7348381 -104.9653271),717.8735995219198
,,"Pittsburgh, PA",,201564,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),290.0928240228123
,,"Louisville, KY",,201565,,,,,,,"Louisville, KY",-85.759407,38.254237599999996,POINT (38.2542376 -85.759407),79.24139026013833
,,"Charlotte, NC",,201566,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),127.4226595727384
,,"Omaha, NE",,201567,,,,,,,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (41.25874589999999 -95.93837579999999),421.3196032866717
,,"Charlotte, NC",,201568,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),227.36289571355255
,,"Omaha, NE",,201569,,,,,,,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (41.25874589999999 -95.93837579999999),149.29205440646493
,,"Seattle, WA",,201570,,,,,,,"Seattle, WA",-122.3300624,47.6038321,POINT (47.6038321 -122.3300624),306.24115061816065
,,"Portland, OR",,201571,,,,,,,"Portland, OR",-122.6741949,45.5202471,POINT (45.5202471 -122.6741949),1100.413773332983
,,"Columbus, OH",,201572,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),945.3716477413094
,,"Pittsburgh, PA",,201573,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),396.17667810640705
,,"Louisville, KY",,201574,,,,,,,"Louisville, KY",-85.759407,38.254237599999996,POINT (38.2542376 -85.759407),543.3010769158856
,,"Jacksonville, FL",,201575,,,,,,,"Jacksonville, FL",-81.655651,30.3321838,POINT (30.3321838 -81.65565100000001),963.49167152504
,,"Seattle, WA",,201576,,,,,,,"Seattle, WA",-122.3300624,47.6038321,POINT (47.6038321 -122.3300624),2346.692346027221
,,"Columbus, OH",,201577,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),381.09688700730567
,,"Portland, OR",,201578,,,,,,,"Portland, OR",-122.6741949,45.5202471,POINT (45.5202471 -122.6741949),2863.66665002988
,,"Jacksonville, FL",,201579,,,,,,,"Jacksonville, FL",-81.655651,30.3321838,POINT (30.3321838 -81.65565100000001),382.403334689149
,,"St. Louis, MO",,201480,,,,,,,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (38.6529545 -90.24111656024635),442.1262870799935
,,"Orlando, FL",,201481,,,,,,,"Orlando, FL",-81.3790304,28.5421109,POINT (28.5421109 -81.3790304),90.71916673175981
,,"Raleigh, NC",,201482,,,,,,,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (35.7803977 -78.63909890000001),140.74606276835104
,,"San Diego, CA",,201483,,,,,,,"San Diego, CA",-117.16277140000001,32.7174209,POINT (32.7174209 -117.1627714),385.65302915738835
,,"Milwaukee, WI",,201484,,,,,,,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (43.0349931 -87.92249699999999),265.82328881792245
,,"St. Louis, MO",,201485,,,,,,,"St. Louis, MO",-90.24111656024635,38.6529545,POINT (38.6529545 -90.24111656024635),311.7415540847669
,,"Buffalo, NY",,201486,,,,,,,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (42.8867166 -78.87839220000001),282.4047974154624
,,"Milwaukee, WI",,201487,,,,,,,"Milwaukee, WI",-87.92249699999999,43.0349931,POINT (43.0349931 -87.92249699999999),92.22294542079756
,,"Raleigh, NC",,201488,,,,,,,"Raleigh, NC",-78.63909890000001,35.7803977,POINT (35.7803977 -78.63909890000001),23.370402869022445
,,"Buffalo, NY",,201489,,,,,,,"Buffalo, NY",-78.87839220000001,42.8867166,POINT (42.8867166 -78.87839220000001),170.8679774607182
,,"San Antonio, TX",,201490,,,,,,,"San Antonio, TX",-98.4951405,29.424600199999997,POINT (29.4246002 -98.49514050000001),839.3083271710126
,,"San Antonio, TX",,201491,,,,,,,"San Antonio, TX",-98.4951405,29.424600199999997,POINT (29.4246002 -98.49514050000001),752.8265315420662
,,"Orlando, FL",,201492,,,,,,,"Orlando, FL",-81.3790304,28.5421109,POINT (28.5421109 -81.3790304),659.9880892163505
,,"San Diego, CA",,201493,,,,,,,"San Diego, CA",-117.16277140000001,32.7174209,POINT (32.7174209 -117.1627714),115.94766982184925
,,"Spokane, WA",,201494,,,,,,,"Spokane, WA",-117.42122649999999,47.6579425,POINT (47.6579425 -117.4212265),2070.3260870967174
,,"Spokane, WA",,201495,,,,,,,"Spokane, WA",-117.42122649999999,47.6579425,POINT (47.6579425 -117.4212265),925.2442492231772
,,"Dayton, OH",,201396,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),148.92001413737017
,,"Lexington, KY",,201397,,,,,,,"Lexington, KY",-84.4970393,38.0464066,POINT (38.0464066 -84.4970393),79.03502143796608
,,"Salt Lake City, UT",,201398,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),549.3802643006065
,,"Kansas City, MO",,201399,,,,,,,"Kansas City, MO",-94.5781416,39.100105,POINT (39.100105 -94.5781416),42.542537672077344
,,"Austin, TX",,2013100,,,,,,,"Austin, TX",-97.7436995,30.2711286,POINT (30.2711286 -97.74369950000001),1121.7485932414013
,,"Philadelphia, PA",,2013101,,,,,,,"Philadelphia, PA",-75.16352619999999,39.9527237,POINT (39.9527237 -75.16352619999999),339.93778571149846
,,"Dayton, OH",,2013102,,,,,,,"Dayton, OH",-84.1916069,39.758947799999994,POINT (39.75894779999999 -84.1916069),73.88662537453882
,,"Philadelphia, PA",,2013103,,,,,,,"Philadelphia, PA",-75.16352619999999,39.9527237,POINT (39.9527237 -75.16352619999999),135.33400174963194
,,"Lexington, KY",,2013104,,,,,,,"Lexington, KY",-84.4970393,38.0464066,POINT (38.0464066 -84.4970393),376.6173335337919
,,"Auburn Hills, MI",,2013105,,,,,,,"Auburn Hills, MI",-83.23410279999999,42.6875323,POINT (42.6875323 -83.23410279999999),77.32753582661681
,,"Salt Lake City, UT",,2013106,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),481.09283382209463
,,"Austin, TX",,2013107,,,,,,,"Austin, TX",-97.7436995,30.2711286,POINT (30.2711286 -97.74369950000001),957.6079031487933
,,"San Jose, CA",,2013108,,,,,,,"San Jose, CA",-121.89058329999999,37.3361905,POINT (37.3361905 -121.8905833),2865.829389815074
,,"San Jose, CA",,2013109,,,,,,,"San Jose, CA",-121.89058329999999,37.3361905,POINT (37.3361905 -121.8905833),1969.269626286512
,,"Kansas City, MO",,2013110,,,,,,,"Kansas City, MO",-94.5781416,39.100105,POINT (39.100105 -94.5781416),125.1232831306639
,,"Auburn Hills, MI",,2013111,,,,,,,"Auburn Hills, MI",-83.23410279999999,42.6875323,POINT (42.6875323 -83.23410279999999),38.37324850034797
,,"Greensboro, NC",,2012112,,,,,,,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (36.0726355 -79.79197540000001),47.41209858684884
,,"Louisville, KY",,2012113,,,,,,,"Louisville, KY",-85.759407,38.254237599999996,POINT (38.2542376 -85.759407),79.24139026013833
,,"Columbus, OH",,2012114,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),194.35674776724636
,,"Pittsburgh, PA",,2012115,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),288.96346686868895
,,"Omaha, NE",,2012116,,,,,,,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (41.25874589999999 -95.93837579999999),149.29205440646493
,,"Greensboro, NC",,2012117,,,,,,,"Greensboro, NC",-79.79197540000001,36.0726355,POINT (36.0726355 -79.79197540000001),52.879952950645645
,,"Omaha, NE",,2012118,,,,,,,"Omaha, NE",-95.93837579999999,41.258745899999994,POINT (41.25874589999999 -95.93837579999999),266.70954785913005
,,"Pittsburgh, PA",,2012119,,,,,,,"Pittsburgh, PA",-79.99008609999998,40.4416941,POINT (40.4416941 -79.99008609999998),190.78281170237892
,,"Columbus, OH",,2012120,,,,,,,"Columbus, OH",-83.00070649999999,39.9622601,POINT (39.9622601 -83.00070649999999),374.08381643141354
,,"Albuquerque, NM",,2012121,,,,,,,"Albuquerque, NM",-106.6509851,35.0841034,POINT (35.0841034 -106.6509851),632.3224722565675
,,"Louisville, KY",,2012122,,,,,,,"Louisville, KY",-85.759407,38.254237599999996,POINT (38.2542376 -85.759407),326.5776535355774
,,"Nashville, TN",,2012123,,,,,,,"Nashville, TN",-86.7743531,36.1622296,POINT (36.1622296 -86.7743531),387.39107965583554
,,"Nashville, TN",,2012124,,,,,,,"Nashville, TN",-86.7743531,36.1622296,POINT (36.1622296 -86.7743531),426.0420684143278
,,"Portland, OR",,2012125,,,,,,,"Portland, OR",-122.6741949,45.5202471,POINT (45.5202471 -122.6741949),2281.5400696960583
,,"Portland, OR",,2012126,,,,,,,"Portland, OR",-122.6741949,45.5202471,POINT (45.5202471 -122.6741949),2338.872303484387
,,"Albuquerque, NM",,2012127,,,,,,,"Albuquerque, NM",-106.6509851,35.0841034,POINT (35.0841034 -106.6509851),1181.143151015157
,,"Cleveland, OH",,2011128,,,,,,,"Cleveland, OH",-81.6934446,41.5051613,POINT (41.5051613 -81.69344460000001),124.7840846244833
,,"Washington, DC",,2011129,,,,,,,"Washington, DC",-77.0365529,38.894893200000006,POINT (38.89489320000001 -77.0365529),205.76402861387496
,,"Tulsa, OK",,2011130,,,,,,,"Tulsa, OK",-95.9929113,36.1556805,POINT (36.1556805 -95.9929113),180.22100371688072
,,"Charlotte, NC",,2011131,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),127.4226595727384
,,"Charlotte, NC",,2011132,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),119.27341381584134
,,"Tampa, FL",,2011133,,,,,,,"Tampa, FL",-82.458444,27.947759499999997,POINT (27.9477595 -82.458444),104.95141991391948
,,"Chicago, IL",,2011134,,,,,,,"Chicago, IL",-87.6244212,41.875561600000005,POINT (41.8755616 -87.6244212),86.80593762762305
,,"Tucson, AZ",,2011135,,,,,,,"Tucson, AZ",-110.9748477,32.2228765,POINT (32.2228765 -110.9748477),380.60448962016983
,,"Cleveland, OH",,2011136,,,,,,,"Cleveland, OH",-81.6934446,41.5051613,POINT (41.5051613 -81.69344460000001),358.4610088541104
,,"Denver, CO",,2011137,,,,,,,"Denver, CO",-104.9653271,39.7348381,POINT (39.7348381 -104.9653271),416.6902539723044
,,"Chicago, IL",,2011138,,,,,,,"Chicago, IL",-87.6244212,41.875561600000005,POINT (41.8755616 -87.6244212),99.7258497504977
